Date,Open,High,Low,Close,Adj Close,Volume
2023-12-05,1347.000000,1347.000000,1308.300049,1317.550049,1317.550049,3932040
2023-12-06,1325.000000,1339.949951,1319.550049,1329.550049,1329.550049,2077245
2023-12-07,1331.000000,1337.000000,1325.349976,1328.000000,1328.000000,1985003
2023-12-08,1333.000000,1369.949951,1329.000000,1364.099976,1364.099976,4509751
2023-12-11,1370.099976,1383.000000,1366.050049,1375.300049,1375.300049,2824656
2023-12-12,1377.000000,1387.000000,1370.000000,1375.300049,1375.300049,2730422
2023-12-13,1379.349976,1382.800049,1357.050049,1369.199951,1369.199951,1896931
2023-12-14,1391.000000,1419.250000,1382.000000,1414.599976,1414.599976,5145574
2023-12-15,1422.000000,1497.000000,1422.000000,1491.300049,1491.300049,7374290
2023-12-18,1489.849976,1509.900024,1481.000000,1504.300049,1504.300049,3075527
2023-12-19,1501.500000,1504.650024,1477.699951,1488.300049,1488.300049,2590417
2023-12-20,1485.000000,1503.050049,1435.000000,1439.949951,1439.949951,4368383
2023-12-21,1421.150024,1447.050049,1420.099976,1422.050049,1422.050049,2841508
2023-12-22,1431.000000,1467.349976,1423.000000,1462.699951,1462.699951,2303438
2023-12-26,1462.699951,1467.349976,1442.150024,1458.150024,1458.150024,1363265
2023-12-27,1465.449951,1476.000000,1457.550049,1472.050049,1472.050049,1402329
2023-12-28,1470.599976,1482.699951,1468.449951,1472.449951,1472.449951,1928616
2023-12-29,1473.949951,1481.849976,1457.550049,1466.099976,1466.099976,1481617
2024-01-01,1460.000000,1495.750000,1455.050049,1483.750000,1483.750000,1222315
2024-01-02,1484.050049,1488.800049,1461.349976,1469.550049,1469.550049,1440888
2024-01-03,1460.000000,1465.000000,1435.500000,1437.750000,1437.750000,1651716
2024-01-04,1437.000000,1444.800049,1417.150024,1419.949951,1419.949951,3392241
2024-01-05,1425.000000,1438.849976,1421.900024,1432.800049,1432.800049,1776925
2024-01-08,1435.000000,1452.599976,1430.550049,1447.900024,1447.900024,2025264
2024-01-09,1460.599976,1480.949951,1452.349976,1460.400024,1460.400024,3119270
2024-01-10,1474.900024,1508.000000,1466.050049,1492.099976,1492.099976,4368914
2024-01-11,1500.000000,1500.000000,1474.000000,1484.800049,1484.800049,2271368
2024-01-12,1505.000000,1555.000000,1498.500000,1540.800049,1540.800049,5862043
